airport1,airport2,Oneworld,StarAlliance,Skyteam
BEG,ESB,2.0,0.0,0.0
BEL,BSB,2.0,0.0,0.0
BEL,FOR,2.0,0.0,0.0
BEL,GIG,2.0,0.0,0.0
BEL,GRU,2.0,0.0,0.0
BEL,MAB,2.0,0.0,0.0
BEL,MAO,2.0,0.0,0.0
BEL,MCP,2.0,0.0,0.0
BEL,MIA,2.0,0.0,0.0
BEL,SLZ,2.0,0.0,1.0
BEL,STM,2.0,0.0,2.0
BEY,DOH,2.0,0.0,2.0
BEY,LHR,3.0,0.0,2.0
BFJ,CAN,2.0,0.0,0.0
BFJ,SZX,2.0,0.0,0.0
BFL,PHX,2.0,0.0,0.0
BGI,LGW,4.0,0.0,0.0
BGI,MIA,2.0,0.0,0.0
BGM,PHL,2.0,0.0,0.0
BGO,BLL,2.0,0.0,0.0
BGO,LHR,4.0,0.0,0.0
BGR,DCA,2.0,0.0,0.0
BGR,PHL,2.0,0.0,0.0
BGW,DOH,2.0,0.0,0.0
BHD,LHR,6.0,0.0,0.0
BHM,CLT,2.0,0.0,0.0
BHM,DCA,2.0,0.0,0.0
BHM,DFW,2.0,0.0,0.0
BHM,MIA,2.0,0.0,0.0
BHM,PHL,2.0,0.0,0.0
BHX,DXB,2.0,0.0,0.0
BHY,CAN,2.0,0.0,0.0
BHY,CGO,2.0,0.0,0.0
BHY,CKG,2.0,0.0,0.0
BHY,CSX,2.0,0.0,0.0
BHY,KMG,2.0,0.0,2.0
BHY,SJW,2.0,0.0,0.0
BIO,FUE,2.0,0.0,0.0
BIO,IBZ,2.0,0.0,1.0
BIO,LCG,2.0,0.0,0.0
BIO,LHR,2.0,0.0,0.0
BIO,LPA,2.0,0.0,2.0
BIO,MAD,2.0,0.0,2.0
BIO,MXP,2.0,0.0,0.0
BIO,ORY,2.0,0.0,0.0
BIO,PMI,2.0,0.0,2.0
BIO,SCQ,2.0,2.0,0.0
BIO,SVQ,2.0,0.0,0.0
BIO,TFN,2.0,0.0,2.0
BIO,TXL,2.0,0.0,0.0
BIO,VGO,2.0,0.0,0.0
BIO,VLC,2.0,0.0,0.0
BJL,DKR,2.0,4.0,0.0
BJX,DFW,2.0,0.0,0.0
BKI,BTU,2.0,0.0,0.0
BKI,BWN,2.0,0.0,0.0
BKI,HKG,4.0,0.0,0.0
BKI,ICN,2.0,2.0,2.0
BKI,KCH,2.0,0.0,0.0
BKI,KUD,2.0,0.0,0.0
BKI,KUL,2.0,0.0,0.0
BKI,LBU,2.0,0.0,0.0
BKI,LDU,2.0,0.0,0.0
BKI,LWY,2.0,0.0,0.0
BKI,MYY,2.0,0.0,0.0
BKI,MZV,2.0,0.0,0.0
BKI,NRT,4.0,0.0,0.0
BKI,PER,2.0,0.0,0.0
BKI,PPS,2.0,0.0,0.0
BKI,PVG,2.0,0.0,0.0
BKI,SBW,2.0,0.0,0.0
BKI,SDK,2.0,0.0,0.0
BKI,SIN,2.0,2.0,0.0
BKI,SZX,2.0,0.0,0.0
BKI,TPE,2.0,0.0,0.0
BKI,TWU,2.0,0.0,0.0
BKK,CAI,2.0,4.0,0.0
BKK,CAN,4.0,2.0,2.0
BKK,CEI,6.0,6.0,2.0
BKK,CGO,2.0,0.0,0.0
BKK,CMB,4.0,2.0,0.0
BKK,CNX,8.0,4.0,4.0
BKK,CSX,2.0,0.0,0.0
BKK,DOH,2.0,0.0,0.0
BKK,DXB,2.0,2.0,0.0
BKK,FOC,4.0,0.0,0.0
BKK,FUK,2.0,2.0,0.0
BKK,HAN,2.0,2.0,2.0
BKK,HEL,2.0,0.0,0.0
BKK,HKG,6.0,4.0,2.0
BKK,HKT,8.0,4.0,4.0
BKK,HND,2.0,4.0,0.0
BKK,IKT,2.0,0.0,0.0
BKK,KBV,6.0,4.0,2.0
BKK,KHI,2.0,2.0,0.0
BKK,KIX,2.0,4.0,0.0
BKK,KUL,6.0,8.0,0.0
BKK,LHR,4.0,4.0,0.0
BKK,MDL,2.0,0.0,0.0
BKK,NBO,2.0,0.0,4.0
BKK,NNG,2.0,0.0,0.0
BKK,NRT,4.0,8.0,2.0
BKK,OVB,2.0,0.0,0.0
BKK,PEN,2.0,2.0,0.0
BKK,SIN,2.0,9.0,0.0
BKK,SWA,2.0,0.0,0.0
BKK,SYD,2.0,4.0,0.0
BKK,WUH,2.0,0.0,0.0
BKK,XMN,4.0,2.0,0.0
BKM,LWY,2.0,0.0,0.0
BKQ,LRE,1.0,0.0,0.0
BLL,BRU,2.0,0.0,0.0
BLL,DUS,2.0,0.0,0.0
BLL,LCY,2.0,0.0,0.0
BLL,MAN,2.0,0.0,0.0
BLL,MUC,2.0,0.0,0.0
BLL,OSL,2.0,2.0,0.0
BLL,ZRH,2.0,0.0,0.0
BLQ,LHR,4.0,0.0,0.0
BLQ,MAD,2.0,0.0,0.0
BLQ,ORY,2.0,0.0,0.0
BLR,CMB,2.0,0.0,0.0
BLR,DOH,2.0,0.0,0.0
BLR,HKG,2.0,0.0,0.0
BLR,KUL,2.0,0.0,0.0
BLR,LHR,4.0,0.0,0.0
BMA,GOT,2.0,0.0,0.0
BMA,HEL,2.0,0.0,0.0
BMA,MMX,2.0,0.0,0.0
BMA,UME,2.0,0.0,0.0
BME,BNE,2.0,0.0,0.0
BME,DRW,2.0,0.0,0.0
BME,KNX,2.0,0.0,0.0
BME,KTA,1.0,0.0,0.0
BME,MEL,2.0,0.0,0.0
BME,PER,2.0,0.0,0.0
BME,SYD,2.0,0.0,0.0
BMI,DFW,2.0,0.0,0.0
BMI,ORD,2.0,0.0,0.0
BNA,CLT,2.0,0.0,0.0
BNA,DCA,2.0,0.0,0.0
BNA,DFW,2.0,0.0,0.0
BNA,JFK,2.0,0.0,2.0
BNA,LAX,2.0,0.0,2.0
BNA,LGA,2.0,0.0,2.0
BNA,MIA,2.0,0.0,0.0
BNA,ORD,2.0,2.0,0.0
BNA,PHL,2.0,0.0,0.0
